area_sqft,bedrooms,age_years,distance_city_km,price_lakh
2610.0,1.0,38.0,6.5,97.0
1839.0,2.0,2.0,4.0,115.7
1592.0,5.0,37.0,21.0,106.3
2460.0,2.0,23.0,20.7,116.0
832.0,3.0,40.0,6.2,57.7
2390.0,2.0,37.0,9.3,109.4
1432.0,1.0,35.0,25.0,76.5
685.0,2.0,1.0,8.6,76.4
1300.0,3.0,27.0,9.7,92.0
1543.0,5.0,11.0,24.5,95.1
2781.0,3.0,37.0,3.9,152.5
1643.0,3.0,31.0,3.5,102.6
,4.0,12.0,18.0,135.5
2754.0,2.0,20.0,1.5,155.7
1983.0,1.0,28.0,1.9,84.1
783.0,4.0,24.0,15.1,77.4
1631.0,2.0,20.0,13.3,94.8
2085.0,4.0,29.0,6.5,108.2
2727.0,3.0,30.0,4.4,144.7
1995.0,5.0,17.0,19.1,128.0
2081.0,1.0,9.0,1.5,111.1
1899.0,4.0,0.0,7.2,132.5
1279.0,5.0,6.0,4.2,112.0
1294.0,4.0,24.0,21.4,95.0
1967.0,5.0,30.0,18.6,118.5
1051.0,3.0,35.0,17.0,54.0
2092.0,2.0,16.0,5.1,110.5
2936.0,5.0,5.0,12.0,158.3
1594.0,5.0,,3.3,122.6
2115.0,4.0,30.0,16.4,133.7
2695.0,5.0,22.0,14.9,163.6
2645.0,2.0,31.0,19.3,113.0
775.0,3.0,20.0,16.6,41.6
2057.0,1.0,17.0,6.3,116.0
888.0,1.0,15.0,8.6,24.4
1985.0,3.0,30.0,10.2,107.3
1082.0,4.0,16.0,4.2,83.0
2429.0,3.0,29.0,14.7,108.9
2080.0,5.0,8.0,17.0,143.6
2895.0,5.0,13.0,8.1,144.7
1281.0,2.0,34.0,19.1,73.1
2909.0,2.0,9.0,11.2,119.6
2085.0,1.0,20.0,7.2,105.1
2342.0,4.0,27.0,21.6,110.7
652.0,1.0,23.0,23.7,50.9
2897.0,3.0,7.0,2.8,155.7
2824.0,2.0,23.0,19.5,122.9
551.0,4.0,12.0,21.8,67.4
1823.0,2.0,39.0,11.8,71.5
2007.0,1.0,30.0,,98.9
1672.0,5.0,28.0,13.2,107.5
2970.0,1.0,4.0,13.4,140.1
1737.0,2.0,,19.1,103.0
2963.0,1.0,6.0,16.6,150.5
2288.0,3.0,21.0,13.0,115.8
2252.0,2.0,10.0,3.0,115.5
2135.0,4.0,23.0,8.7,114.4
2363.0,4.0,4.0,10.0,142.5
930.0,1.0,14.0,15.5,48.7
1201.0,3.0,9.0,11.0,71.7
805.0,5.0,17.0,6.4,83.7
2526.0,3.0,30.0,2.3,132.9
1536.0,2.0,24.0,12.1,86.5
2368.0,5.0,19.0,9.6,147.9
769.0,1.0,8.0,15.4,38.9
990.0,2.0,33.0,8.9,42.9
2744.0,4.0,4.0,19.8,144.7
644.0,1.0,23.0,12.2,42.3
749.0,1.0,12.0,24.1,58.9
2826.0,5.0,22.0,11.0,176.8
1739.0,1.0,27.0,20.9,78.6
655.0,3.0,38.0,23.1,55.3
1138.0,,4.0,12.7,68.0
2889.0,1.0,36.0,11.7,129.0
2663.0,1.0,39.0,,113.5
528.0,4.0,16.0,14.2,70.1
966.0,4.0,34.0,5.8,82.7
2790.0,5.0,9.0,1.7,153.3
2462.0,5.0,38.0,2.8,128.6
2979.0,4.0,9.0,24.4,153.5
754.0,3.0,26.0,19.7,46.4
2374.0,5.0,3.0,1.2,145.3
2407.0,3.0,,2.1,142.3
1590.0,4.0,9.0,11.9,101.7
2657.0,1.0,37.0,7.2,120.8
2165.0,3.0,37.0,11.2,111.5
1467.0,2.0,20.0,11.4,80.0
805.0,3.0,12.0,22.7,44.3
2465.0,1.0,5.0,6.5,113.3
2951.0,3.0,22.0,14.2,152.7
1510.0,5.0,15.0,20.9,101.7
1897.0,3.0,29.0,24.7,91.9
1896.0,2.0,13.0,3.7,116.4
2777.0,1.0,33.0,21.9,133.1
1380.0,4.0,11.0,25.0,90.4
1660.0,2.0,35.0,16.2,97.2
606.0,3.0,10.0,22.2,55.9
1674.0,5.0,28.0,3.6,110.4
2398.0,2.0,18.0,5.1,127.7
2234.0,5.0,15.0,,150.6
1394.0,4.0,27.0,23.3,108.1
2906.0,4.0,8.0,3.7,159.6
1863.0,5.0,37.0,7.1,131.8
2945.0,3.0,7.0,22.8,153.6
2572.0,5.0,36.0,22.3,143.8
1977.0,2.0,8.0,24.4,96.0
2276.0,1.0,12.0,8.8,99.2
2958.0,5.0,7.0,4.0,171.2
1555.0,2.0,12.0,14.4,103.9
2751.0,1.0,24.0,10.1,128.0
901.0,5.0,33.0,20.5,70.4
1187.0,3.0,33.0,22.2,61.2
2282.0,4.0,38.0,18.8,143.1
888.0,1.0,15.0,13.8,39.1
2796.0,3.0,30.0,3.0,137.8
2280.0,3.0,8.0,10.6,134.1
2753.0,3.0,24.0,23.2,140.5
608.0,1.0,8.0,9.2,40.3
1054.0,1.0,1.0,3.2,90.7
1812.0,2.0,3.0,17.0,112.0
1027.0,5.0,27.0,11.7,78.4
2075.0,3.0,9.0,15.4,122.2
2410.0,1.0,4.0,13.6,127.4
2384.0,1.0,36.0,14.9,107.3
2762.0,3.0,6.0,3.3,155.1
1001.0,4.0,16.0,9.1,104.9
1514.0,4.0,7.0,5.0,107.1
1316.0,5.0,40.0,19.0,71.6
1333.0,3.0,38.0,12.2,78.5
816.0,5.0,24.0,23.4,88.9
2407.0,1.0,4.0,16.2,111.8
2440.0,4.0,27.0,19.9,141.6
2952.0,3.0,16.0,18.3,132.1
1543.0,4.0,14.0,15.8,118.5
2374.0,1.0,2.0,15.7,103.7
811.0,4.0,3.0,6.6,94.4
2381.0,3.0,33.0,19.8,124.3
822.0,1.0,7.0,1.5,52.4
2655.0,4.0,14.0,24.2,137.8
2815.0,3.0,37.0,7.7,137.0
2642.0,5.0,21.0,20.9,141.6
2463.0,2.0,17.0,1.3,125.7
1884.0,5.0,23.0,9.0,127.6
2710.0,4.0,28.0,5.7,122.9
1781.0,1.0,1.0,9.5,90.9
1870.0,2.0,24.0,2.1,87.2
509.0,4.0,19.0,16.2,55.6
1955.0,2.0,6.0,17.5,101.8
866.0,4.0,22.0,11.4,53.8
1561.0,3.0,29.0,19.7,87.2
,3.0,16.0,6.2,138.0
1259.0,5.0,21.0,5.0,90.3
900.0,4.0,40.0,15.4,63.6
729.0,2.0,33.0,14.6,32.0
1852.0,4.0,35.0,4.0,103.4
543.0,3.0,14.0,15.2,35.0
1779.0,1.0,31.0,10.5,90.5
2613.0,3.0,31.0,4.6,144.1
1039.0,1.0,11.0,9.6,73.5
667.0,5.0,5.0,13.4,71.7
770.0,5.0,6.0,8.6,98.2
1646.0,1.0,33.0,22.5,52.5
2541.0,3.0,2.0,3.0,151.0
1191.0,10.0,24.0,4.8,81.3
2000.0,1.0,24.0,20.5,82.9
2137.0,4.0,29.0,22.6,118.4
1711.0,1.0,37.0,1.3,80.4
577.0,3.0,36.0,19.3,47.2
1402.0,3.0,7.0,5.1,101.0
688.0,2.0,16.0,16.6,60.2
1603.0,1.0,35.0,14.8,69.5
2486.0,3.0,25.0,22.9,116.6
2538.0,1.0,25.0,16.0,137.7
2707.0,2.0,25.0,12.4,134.1
1989.0,5.0,4.0,11.1,138.5
946.0,1.0,29.0,10.7,47.2
2352.0,5.0,28.0,20.8,118.0
1288.0,5.0,28.0,1.9,93.8
2253.0,4.0,28.0,3.2,128.3
1227.0,3.0,40.0,12.5,65.2
-500.0,5.0,28.0,13.0,123.8
1693.0,4.0,32.0,21.8,109.6
1233.0,4.0,6.0,19.7,92.3
1823.0,5.0,15.0,12.9,130.2
1072.0,2.0,38.0,9.1,60.8
1546.0,5.0,17.0,16.4,117.4
2899.0,4.0,24.0,4.2,155.1
2305.0,3.0,14.0,6.2,145.5
508.0,1.0,26.0,1.4,25.2
603.0,2.0,32.0,14.5,33.9
1864.0,2.0,31.0,9.0,101.5
2719.0,1.0,22.0,19.4,114.9
1559.0,4.0,7.0,24.3,100.5
2646.0,2.0,27.0,4.2,128.3
1030.0,4.0,10.0,13.4,81.2
1785.0,1.0,34.0,3.4,87.5
846.0,1.0,29.0,11.1,48.0
2050.0,1.0,29.0,9.0,94.9
2664.0,1.0,7.0,10.7,133.3
2849.0,5.0,32.0,18.6,153.2
788.0,2.0,40.0,16.9,75.7
2219.0,2.0,18.0,15.5,109.0
2362.0,1.0,40.0,20.9,92.1
768.0,2.0,7.0,16.8,53.2
2473.0,4.0,12.0,2.5,171.6
1746.0,1.0,16.0,24.6,109.2
2062.0,5.0,23.0,4.5,133.7
2448.0,5.0,27.0,15.5,152.6
1626.0,3.0,35.0,8.8,99.5
1106.0,5.0,13.0,2.0,110.0
1111.0,4.0,19.0,12.8,80.0
2037.0,4.0,39.0,19.6,112.1
2132.0,3.0,1.0,16.1,99.3
1779.0,4.0,38.0,19.0,92.6
2338.0,5.0,32.0,17.8,127.2
2678.0,5.0,21.0,13.1,142.0
2376.0,3.0,22.0,16.9,128.2
1456.0,2.0,21.0,19.8,75.4
2965.0,3.0,28.0,23.0,135.6
2292.0,3.0,4.0,10.3,137.4
1949.0,1.0,16.0,14.8,96.5
2510.0,4.0,,14.2,145.2
1652.0,4.0,5.0,9.6,108.3
588.0,1.0,34.0,16.4,43.1
1972.0,4.0,30.0,8.1,131.5
1872.0,4.0,11.0,6.6,117.8
2829.0,3.0,29.0,8.8,149.6
2942.0,3.0,17.0,1.9,133.8
2182.0,3.0,11.0,18.2,102.8
613.0,1.0,32.0,18.8,43.2
1614.0,1.0,12.0,13.7,70.5
2510.0,5.0,1.0,6.9,164.5
1240.0,2.0,14.0,12.9,61.7
670.0,5.0,32.0,3.0,65.5
2506.0,1.0,18.0,18.0,128.5
568.0,2.0,17.0,11.8,36.7
1463.0,1.0,18.0,19.0,82.3
1331.0,2.0,20.0,1.7,71.4
843.0,4.0,12.0,7.0,78.8
2466.0,3.0,38.0,14.8,121.3
1670.0,1.0,2.0,14.2,89.7
2965.0,3.0,28.0,23.0,135.6
1248.0,3.0,13.0,21.8,96.5
1592.0,2.0,4.0,6.1,93.0
564.0,3.0,10.0,5.7,64.6
2392.0,4.0,14.0,16.0,141.4
1226.0,2.0,36.0,13.3,66.3
2903.0,4.0,28.0,18.1,150.3
848.0,2.0,24.0,3.0,47.7
2796.0,4.0,0.0,9.5,140.1
2657.0,5.0,25.0,9.3,151.2
985.0,1.0,33.0,11.3,57.2
1075.0,3.0,18.0,,74.8
1323.0,5.0,23.0,8.2,93.5
1979.0,5.0,18.0,5.1,132.3
2050.0,3.0,6.0,15.5,103.0
2347.0,5.0,11.0,11.5,156.1
810.0,2.0,32.0,1.5,33.8
533.0,4.0,22.0,8.2,69.3
1837.0,10.0,2.0,17.8,82.5
926.0,3.0,17.0,5.7,69.4
613.0,10.0,29.0,9.0,43.7
545.0,4.0,8.0,20.5,71.0
2165.0,4.0,7.0,7.6,115.4
1044.0,2.0,10.0,18.6,60.0
1473.0,1.0,24.0,10.5,85.0
2559.0,2.0,0.0,1.6,128.8
2226.0,4.0,18.0,23.3,130.0
1045.0,5.0,13.0,19.7,82.9
2024.0,3.0,14.0,3.9,122.2
1956.0,2.0,27.0,2.2,99.1
992.0,3.0,30.0,22.3,69.4
1379.0,4.0,4.0,3.9,110.8
1871.0,1.0,16.0,19.4,76.1
1465.0,2.0,19.0,13.5,84.5
2634.0,5.0,4.0,21.3,159.9
2256.0,1.0,26.0,21.9,96.5
1422.0,5.0,15.0,15.8,102.4
1049.0,2.0,12.0,1.6,83.7
1417.0,2.0,24.0,1.3,92.7
1623.0,1.0,38.0,13.2,93.2
1604.0,5.0,35.0,7.4,98.0
2256.0,3.0,25.0,2.3,118.2
560.0,3.0,28.0,18.9,48.9
1930.0,1.0,8.0,2.4,98.8
2708.0,4.0,40.0,11.3,149.1
1027.0,5.0,39.0,5.0,92.4
1701.0,3.0,36.0,9.9,92.2
2531.0,2.0,39.0,5.7,133.2
2838.0,1.0,22.0,12.6,152.6
606.0,5.0,30.0,5.3,73.7
2006.0,3.0,9.0,22.0,72.5
2404.0,5.0,20.0,15.8,135.7
1336.0,5.0,7.0,14.9,102.5
2110.0,4.0,23.0,19.2,137.6
1975.0,1.0,26.0,6.7,75.7
1116.0,1.0,11.0,15.5,57.4
2857.0,3.0,24.0,23.9,158.3
2304.0,1.0,40.0,23.4,89.8
1000.0,5.0,28.0,13.9,82.0
876.0,4.0,7.0,3.2,76.8
692.0,4.0,24.0,19.4,68.3
2452.0,2.0,2.0,17.3,128.7
2043.0,2.0,31.0,12.4,75.3
2521.0,1.0,11.0,6.2,136.4
2330.0,4.0,34.0,14.3,128.6
1145.0,1.0,18.0,4.9,62.7
1446.0,3.0,27.0,2.0,84.2
1408.0,2.0,39.0,21.3,64.3
1266.0,4.0,4.0,15.1,85.3
1950.0,1.0,14.0,6.1,103.1
1229.0,4.0,12.0,2.7,103.3
2737.0,3.0,2.0,18.6,128.8
2374.0,1.0,2.0,15.7,103.7
1799.0,3.0,14.0,1.2,126.7
1726.0,2.0,23.0,2.0,93.5
2555.0,1.0,37.0,4.9,120.8
2906.0,4.0,8.0,3.7,159.6
822.0,2.0,21.0,10.1,64.5
2138.0,1.0,16.0,21.5,98.0
1091.0,2.0,37.0,4.3,57.8
2619.0,2.0,23.0,17.9,122.8
1626.0,,3.0,2.0,102.0
2157.0,3.0,39.0,14.5,97.7
2624.0,3.0,17.0,5.2,140.3
2142.0,2.0,1.0,5.5,103.3
2865.0,4.0,18.0,12.2,157.0
2859.0,4.0,37.0,21.5,153.8
,3.0,34.0,6.8,117.7
1850.0,5.0,37.0,15.3,108.9
2821.0,2.0,26.0,21.6,143.7
1508.0,2.0,24.0,17.3,74.3
1553.0,1.0,1.0,22.5,59.6
1036.0,2.0,11.0,2.7,57.8
959.0,5.0,9.0,5.5,96.3
1523.0,3.0,5.0,21.2,81.1
504.0,1.0,34.0,7.9,37.3
2010.0,4.0,3.0,10.5,127.5
2614.0,2.0,15.0,8.0,145.7
2075.0,5.0,15.0,1.1,129.6
1175.0,4.0,18.0,24.4,74.7
2830.0,3.0,21.0,23.2,123.2
675.0,4.0,38.0,7.8,56.8
892.0,3.0,29.0,9.8,69.3
1768.0,5.0,5.0,25.0,131.1
760.0,3.0,28.0,3.5,63.4
510.0,2.0,15.0,6.9,70.9
739.0,5.0,11.0,22.1,78.1
2029.0,4.0,5.0,12.4,125.5
976.0,4.0,32.0,7.0,72.2
2619.0,2.0,28.0,2.7,145.5
1754.0,1.0,14.0,3.0,85.4
703.0,2.0,3.0,15.5,73.2
1195.0,2.0,14.0,12.1,79.5
2666.0,3.0,5.0,17.5,143.2
1279.0,3.0,2.0,16.7,77.2
1521.0,1.0,4.0,20.1,84.7
1113.0,1.0,14.0,24.2,62.8
1265.0,3.0,35.0,9.4,81.1
655.0,4.0,4.0,7.0,68.3
2657.0,5.0,38.0,7.7,151.1
2831.0,4.0,1.0,15.7,157.7
1705.0,3.0,7.0,3.6,100.5
1473.0,5.0,11.0,9.7,100.8
2197.0,5.0,13.0,22.7,134.8
2990.0,3.0,38.0,7.7,128.6
630.0,3.0,29.0,10.2,41.4
1896.0,2.0,13.0,3.7,116.4
2418.0,2.0,13.0,8.6,118.4
1100.0,4.0,11.0,6.7,77.0
976.0,2.0,27.0,15.4,76.2
1139.0,3.0,33.0,10.4,84.2
1844.0,1.0,40.0,23.1,71.7
2612.0,3.0,15.0,16.2,119.6
2579.0,4.0,20.0,7.3,140.5
1809.0,3.0,11.0,9.1,92.8
2489.0,5.0,10.0,6.2,167.7
-500.0,3.0,32.0,25.0,59.5
1574.0,1.0,0.0,11.9,82.1
2943.0,3.0,12.0,1.9,157.9
1747.0,4.0,18.0,18.4,97.0
705.0,5.0,19.0,24.0,81.7
2981.0,5.0,17.0,10.6,176.2
2261.0,2.0,38.0,13.9,112.3
1840.0,1.0,40.0,16.0,58.8
1758.0,1.0,9.0,11.7,102.1
1207.0,4.0,5.0,3.5,80.0
565.0,4.0,1.0,5.0,69.1
1475.0,5.0,34.0,19.2,96.0
512.0,4.0,7.0,1.3,73.1
2170.0,5.0,4.0,20.5,141.2
1133.0,3.0,29.0,13.5,71.1
2265.0,4.0,20.0,6.4,133.4
1324.0,4.0,6.0,5.1,96.1
2524.0,5.0,21.0,23.4,141.0
1307.0,3.0,17.0,3.9,82.9
1988.0,3.0,13.0,15.1,114.2
2750.0,5.0,11.0,23.7,161.4
1215.0,3.0,35.0,10.0,70.0
2392.0,2.0,30.0,23.4,119.4
1564.0,4.0,2.0,16.7,101.6
2171.0,3.0,32.0,23.8,109.1
2287.0,3.0,32.0,5.5,132.4
2121.0,1.0,11.0,10.4,-20.0
1167.0,1.0,18.0,22.5,83.9
2498.0,4.0,27.0,22.8,142.5
2880.0,1.0,13.0,2.3,136.6
2184.0,2.0,19.0,23.5,121.4
886.0,2.0,11.0,12.7,38.9
2605.0,3.0,5.0,,151.4
690.0,1.0,35.0,14.9,26.6
2329.0,2.0,24.0,11.6,116.1
1095.0,3.0,29.0,12.3,70.3
2457.0,5.0,6.0,24.2,165.8
909.0,5.0,10.0,15.4,88.5
860.0,5.0,3.0,6.1,101.7
1302.0,5.0,19.0,6.9,97.1
2609.0,4.0,18.0,14.7,148.0
2301.0,2.0,25.0,19.2,129.3
2788.0,4.0,16.0,2.2,152.2
1923.0,5.0,5.0,22.3,126.8
684.0,4.0,17.0,21.1,77.2
2066.0,4.0,28.0,16.9,130.9
1338.0,2.0,30.0,7.7,77.6
2430.0,2.0,4.0,16.4,134.1
634.0,4.0,32.0,5.3,56.7
,,29.0,5.1,79.9
502.0,1.0,32.0,23.6,22.4
2610.0,2.0,17.0,22.1,108.8
1146.0,4.0,17.0,10.6,89.1
2427.0,2.0,38.0,23.2,107.6
1773.0,5.0,6.0,12.5,114.8
1301.0,5.0,29.0,21.8,101.2
2228.0,2.0,25.0,10.1,93.2
1571.0,1.0,34.0,1.6,81.6
2761.0,2.0,23.0,10.7,126.3
2506.0,2.0,19.0,23.6,114.1
2322.0,1.0,39.0,13.1,105.9
771.0,5.0,19.0,19.7,75.8
2546.0,3.0,11.0,1.2,155.3
2331.0,1.0,5.0,1.1,123.2
524.0,1.0,40.0,21.9,25.5
2600.0,3.0,37.0,22.8,118.6
1789.0,2.0,6.0,24.5,97.2
1837.0,2.0,35.0,9.6,96.0
1331.0,1.0,8.0,4.9,83.7
943.0,,0.0,21.3,82.8
2651.0,5.0,39.0,16.4,137.0
1199.0,5.0,18.0,6.5,107.2
1628.0,5.0,23.0,11.3,124.7
645.0,1.0,36.0,4.9,69.8
-500.0,5.0,34.0,12.7,101.4
1005.0,3.0,26.0,3.5,65.0
2012.0,2.0,15.0,12.6,103.3
2962.0,3.0,37.0,15.5,146.3
1647.0,2.0,12.0,5.1,88.0
2495.0,1.0,31.0,20.2,108.5
2066.0,1.0,21.0,21.0,115.0
2310.0,2.0,9.0,17.4,110.1
1199.0,5.0,18.0,6.5,107.2
951.0,4.0,38.0,17.2,85.7
2056.0,2.0,10.0,15.2,123.9
1290.0,3.0,23.0,5.2,92.3
1064.0,4.0,12.0,18.1,71.0
1271.0,4.0,34.0,5.7,96.4
1084.0,1.0,29.0,6.2,61.0
1890.0,5.0,25.0,16.8,119.5
811.0,3.0,6.0,19.3,-20.0
1772.0,1.0,30.0,22.1,66.4
2552.0,2.0,5.0,12.4,142.2
777.0,3.0,35.0,13.8,50.3
,3.0,33.0,19.3,78.2
1766.0,2.0,35.0,14.2,82.5
2613.0,3.0,36.0,23.5,122.1
690.0,1.0,35.0,14.9,26.6
964.0,5.0,33.0,20.2,84.9
2072.0,3.0,0.0,11.9,128.9
2139.0,2.0,20.0,3.5,103.7
2448.0,3.0,22.0,13.0,124.3
1471.0,,6.0,12.3,95.4
1997.0,4.0,21.0,20.2,120.9
2834.0,2.0,28.0,17.1,138.9
832.0,1.0,2.0,17.2,43.5
1440.0,4.0,35.0,21.5,76.2
2150.0,5.0,16.0,8.2,143.8
1887.0,4.0,7.0,23.6,89.2
1165.0,4.0,14.0,15.2,100.6
2289.0,2.0,1.0,8.0,113.9
2854.0,4.0,20.0,21.6,138.3
2890.0,1.0,29.0,16.9,120.9
2454.0,2.0,7.0,12.1,117.7
1859.0,1.0,32.0,12.7,98.8
749.0,3.0,8.0,20.8,56.1
1161.0,5.0,23.0,11.1,97.1
2058.0,2.0,26.0,22.3,103.8
1824.0,5.0,0.0,6.0,119.5
1128.0,1.0,36.0,14.1,46.4
2491.0,5.0,32.0,12.3,135.8
1703.0,2.0,25.0,2.5,103.6
1128.0,2.0,34.0,13.5,61.0
2826.0,5.0,22.0,11.0,176.8
1495.0,3.0,34.0,10.1,89.1
1367.0,4.0,9.0,6.7,109.9
981.0,4.0,0.0,14.8,96.4
1988.0,,32.0,14.9,94.4
2198.0,4.0,31.0,2.2,129.2
2703.0,2.0,13.0,21.8,127.2
2728.0,4.0,19.0,12.6,140.4
1449.0,1.0,17.0,1.4,62.5
2724.0,2.0,2.0,10.2,123.4
1300.0,4.0,30.0,5.5,91.9
904.0,3.0,39.0,12.2,64.9
900.0,4.0,5.0,15.6,75.5
1407.0,4.0,19.0,16.5,89.6
