sender_frequency,keyword_score,thread_length,response_deadline_hours,attachment_count,previous_priority_rate,target
2,67.33,1,12.07,3,68.99,0
4,37.07,1,18.3,0,56.9,0
4,55.69,2,3.09,4,55.25,1
3,52.78,4,24.14,4,34.02,1
1,25.78,3,6.8,0,23.01,1
3,3.31,1,9.6,3,54.0,0
8,61.89,4,1.0,2,48.61,1
1,23.27,8,8.59,3,34.43,1
3,8.72,6,10.93,3,70.39,1
3,71.0,2,13.79,7,34.13,1
4,5.49,2,11.22,3,69.6,1
1,54.97,3,10.73,0,50.26,0
4,17.54,3,16.96,1,50.7,0
1,55.6,3,8.3,2,43.42,0
0,18.45,0,11.09,1,62.48,0
2,66.14,6,18.15,1,45.6,0
2,4.14,3,12.72,3,54.08,1
4,31.17,4,3.19,0,54.12,1
4,47.59,3,13.15,2,50.89,1
2,15.26,2,8.69,4,52.52,1
4,65.14,3,5.94,3,61.89,1
1,52.83,3,23.72,3,8.82,0
5,58.86,2,13.51,6,61.2,1
4,37.59,6,7.42,2,46.68,1
4,22.01,2,8.9,2,78.8,1
7,67.55,2,19.51,1,65.92,0
3,27.04,1,19.82,1,22.67,1
3,55.07,3,12.46,0,84.18,0
1,50.77,3,1.08,1,39.62,1
1,34.74,1,2.44,2,50.09,0
5,54.17,2,1.0,3,61.15,1
7,46.86,7,6.12,4,44.66,1
3,62.23,6,13.13,3,26.87,1
5,38.21,4,6.06,2,58.91,1
3,59.91,3,13.43,5,7.65,1
6,69.89,2,6.97,3,34.45,0
3,87.44,1,1.0,6,50.1,1
2,42.42,4,21.54,3,49.68,1
4,46.56,2,15.12,6,62.56,0
5,44.62,1,28.73,1,39.83,0
4,63.06,2,11.87,2,46.27,1
6,43.23,2,2.74,6,32.25,1
6,60.68,3,13.26,5,48.97,1
3,40.39,0,12.04,4,37.19,1
2,69.63,3,20.82,1,46.76,1
2,10.55,4,1.0,2,20.01,1
2,65.46,5,5.87,5,88.23,1
3,61.77,4,10.86,3,36.71,0
4,28.4,3,5.94,2,11.82,1
3,70.44,3,14.34,2,8.86,0
2,45.22,2,16.49,9,52.34,1
6,36.19,3,7.31,0,62.99,1
5,18.37,1,18.26,1,63.94,1
3,31.4,4,4.98,3,52.88,1
2,29.51,2,9.78,2,25.87,0
1,25.83,0,13.57,2,41.15,0
3,50.17,3,10.72,4,47.79,1
2,88.74,5,15.92,7,16.02,1
3,73.39,2,6.05,1,58.66,1
0,39.66,3,12.69,0,32.98,0
3,29.43,4,25.04,4,63.72,0
4,38.98,3,14.84,6,49.97,1
4,24.32,4,8.47,1,54.75,1
3,89.89,3,1.0,5,90.35,1
1,0.0,5,8.08,3,37.2,0
4,12.96,4,13.79,3,35.65,1
2,46.2,3,16.44,0,62.23,0
3,58.08,3,11.07,3,65.7,0
3,51.93,5,20.75,9,48.66,1
5,51.26,9,1.43,4,24.83,1
3,86.38,2,14.17,5,31.39,1
4,43.38,5,7.74,5,50.48,1
3,42.77,2,16.63,2,47.07,0
1,35.73,0,7.35,4,32.02,0
1,19.17,2,14.32,7,14.64,1
3,27.46,6,16.2,2,55.01,1
6,82.26,3,8.26,5,46.6,1
3,75.31,5,23.93,2,81.79,0
3,22.25,4,8.76,4,27.52,1
3,58.66,3,14.75,4,73.8,0
5,88.05,7,1.0,4,58.23,1
2,54.49,0,12.1,3,48.13,1
3,58.04,4,8.7,2,89.02,0
3,44.76,2,16.63,3,27.04,1
1,60.27,5,13.05,2,63.93,1
6,84.78,3,25.26,6,68.22,0
4,52.87,3,19.22,6,55.34,1
5,49.5,3,3.47,3,67.52,0
1,13.66,3,1.0,4,32.39,1
4,64.33,4,5.75,4,39.86,0
4,58.64,1,1.0,1,55.31,1
4,30.05,2,12.73,3,75.64,1
6,45.47,5,18.93,3,51.89,1
3,49.33,4,7.56,6,53.37,1
0,57.57,4,24.49,4,56.12,0
7,54.05,1,3.56,6,14.01,1
0,32.19,1,18.25,3,47.65,1
3,78.15,6,8.39,2,70.82,1
1,69.53,1,7.64,2,80.2,1
2,34.46,2,12.02,1,44.5,0
2,43.22,1,9.17,3,39.98,0
1,36.57,2,3.63,3,27.4,0
3,50.83,2,9.81,4,49.98,1
1,62.22,4,27.72,3,35.86,0
2,79.88,1,1.0,5,50.31,0
5,71.75,2,1.0,5,56.05,1
5,75.83,0,12.82,3,32.68,0
1,53.57,3,18.98,2,46.32,0
4,50.92,2,20.67,5,58.16,1
3,83.47,3,9.05,4,27.97,1
2,60.95,3,5.76,1,38.14,0
3,43.73,4,8.24,3,82.36,0
2,50.2,6,12.62,3,34.16,0
2,55.65,8,19.52,4,11.16,1
8,44.15,0,4.16,3,61.83,1
1,49.99,1,17.13,5,54.77,0
6,25.39,8,13.13,0,58.21,1
8,83.51,2,22.4,5,53.19,0
4,71.67,1,7.82,2,52.7,1
5,74.25,3,13.03,4,58.69,0
5,59.81,4,15.73,2,50.59,0
1,40.21,6,9.25,1,58.3,0
5,48.08,2,19.33,2,62.13,0
3,70.03,1,3.88,2,62.19,0
3,88.21,3,22.49,1,58.89,0
3,74.15,4,18.47,6,98.45,0
5,15.06,1,5.67,7,33.4,1
4,41.7,3,13.83,4,47.46,0
2,68.62,4,22.86,8,40.36,1
5,89.35,3,25.96,4,42.85,1
4,41.09,4,7.57,3,20.66,1
5,49.26,0,5.54,2,49.93,1
4,25.74,6,6.14,2,70.5,1
2,4.99,8,1.0,2,46.99,1
3,38.89,0,4.18,1,63.23,0
7,48.09,4,31.17,1,54.02,1
2,28.62,3,17.05,4,27.37,1
1,65.45,6,10.25,5,53.58,1
2,27.2,2,16.71,4,50.39,1
3,41.6,0,5.86,2,20.6,0
0,87.68,2,1.0,3,28.32,0
4,35.49,2,1.0,2,37.01,0
4,69.65,5,1.0,4,29.58,1
2,55.74,5,9.0,7,40.8,1
2,67.5,3,1.0,4,43.74,1
4,35.12,0,1.0,5,52.95,0
5,53.51,3,1.0,4,58.26,1
1,57.95,0,22.13,2,62.91,0
3,78.54,6,1.0,0,15.83,0
2,36.2,1,19.69,3,27.87,0
3,57.16,3,2.45,1,50.69,0
3,70.69,4,1.72,6,67.8,1
4,46.46,2,13.27,4,17.07,0
0,49.08,5,7.88,4,0.0,1
2,66.51,2,2.71,2,48.09,0
2,50.64,1,7.66,3,34.98,1
8,44.99,1,9.88,3,21.24,1
3,88.77,4,3.75,0,73.71,1
1,38.63,3,5.16,5,81.92,1
1,54.64,4,1.0,3,4.7,1
2,79.24,1,2.05,2,0.9,0
0,49.18,3,12.4,4,55.77,0
2,33.07,1,14.44,2,37.1,0
4,31.98,4,13.44,2,49.97,1
2,52.15,1,18.95,3,52.26,0
6,55.87,3,20.03,5,40.22,0
4,97.76,2,4.3,1,39.88,1
4,49.88,3,18.11,4,24.23,0
2,57.92,2,2.76,3,49.14,1
7,34.63,7,4.57,2,20.52,1
1,50.89,3,1.0,7,59.72,1
5,71.97,4,12.71,3,61.75,0
2,65.29,3,1.0,1,34.19,1
3,40.39,1,8.28,0,54.21,0
5,31.94,1,10.81,3,82.26,0
3,69.84,0,14.39,4,20.17,1
5,33.02,4,7.65,3,28.63,0
4,55.27,1,8.97,1,49.26,0
4,78.83,1,1.0,2,32.22,0
2,27.02,2,37.37,5,75.4,0
2,68.63,2,13.08,2,30.83,0
2,42.59,1,23.39,4,43.18,0
1,15.32,2,12.01,4,38.25,0
1,35.01,1,1.0,2,21.39,0
0,69.64,1,7.07,4,91.65,0
4,36.75,1,14.02,2,66.03,0
6,45.75,0,2.49,3,39.84,1
3,36.72,2,15.11,2,32.14,0
2,26.16,2,9.31,2,77.04,0
2,45.19,4,2.11,2,23.45,1
4,51.67,2,1.0,0,29.33,0
4,49.97,7,15.63,2,41.77,1
1,16.66,5,10.44,5,58.72,1
6,31.33,3,8.74,6,91.03,1
3,63.71,8,1.0,4,58.23,0
2,48.33,4,5.43,2,62.77,0
4,72.0,6,18.59,5,66.37,1
5,42.41,2,24.47,6,27.69,1
2,60.35,2,21.0,0,89.33,0
5,68.1,4,17.62,2,85.44,0
4,44.69,2,1.0,4,36.99,1
6,51.4,2,7.94,2,39.95,1
1,28.69,2,16.35,1,41.83,0
3,39.43,3,5.74,1,50.81,0
3,46.44,3,16.21,4,43.43,0
3,57.2,7,7.5,1,50.78,0
0,48.66,1,31.26,3,63.68,0
4,12.57,6,18.45,6,55.69,0
5,23.05,2,4.56,0,67.36,1
3,54.59,1,8.75,1,71.91,0
4,41.8,4,11.97,4,38.92,1
1,69.89,9,5.11,2,63.18,1
5,23.31,3,6.25,1,45.75,1
2,58.53,5,21.71,1,37.47,1
2,19.9,3,5.7,4,60.35,1
6,96.9,2,6.21,3,29.07,0
4,70.62,3,13.42,5,66.09,0
2,38.2,2,12.46,5,34.37,1
2,54.82,0,1.99,1,50.01,0
2,39.41,3,9.18,1,59.88,0
5,47.35,3,13.45,1,25.1,1
3,15.42,2,14.44,3,44.83,1
1,87.43,2,10.9,3,38.3,0
0,41.06,5,19.23,4,30.38,1
6,98.89,2,11.25,4,77.38,0
5,25.15,4,13.36,2,43.54,0
5,51.52,5,12.98,1,59.48,1
3,58.33,4,14.75,0,13.23,0
2,21.43,2,18.19,1,46.82,0
5,55.61,5,10.49,1,31.02,0
6,58.73,5,9.87,4,82.53,0
1,35.23,5,5.68,1,79.44,0
2,34.62,3,13.24,3,31.11,1
4,57.91,4,10.0,3,65.02,0
6,48.82,4,11.76,3,21.36,1
3,47.0,2,12.2,2,59.23,0
1,44.61,4,15.52,7,53.01,1
5,55.71,3,14.56,4,54.81,1
1,16.73,3,6.57,0,18.62,1
1,25.16,3,15.16,3,45.74,1
1,46.49,5,14.5,1,9.0,0
1,3.82,1,22.04,0,38.03,0
8,51.67,5,4.67,3,46.08,1
0,30.79,5,11.48,3,49.58,0
5,83.19,4,18.49,3,42.22,0
3,53.28,6,2.37,5,64.69,1
7,40.95,1,2.1,5,73.93,1
4,65.17,5,16.6,2,46.66,0
3,33.18,5,1.0,3,49.74,1
3,60.37,0,1.0,2,90.95,0
6,86.96,5,4.67,2,71.18,1
2,43.79,4,8.91,5,50.3,1
2,24.34,2,14.93,1,38.28,0
3,96.43,5,1.0,3,74.62,1
3,69.85,1,1.0,1,80.29,0
3,35.61,4,2.23,4,44.69,1
2,39.82,1,12.68,2,39.69,0
2,67.03,4,21.99,3,44.35,0
2,80.92,4,2.95,4,23.11,1
8,48.0,2,14.58,4,35.19,0
2,68.78,2,25.39,1,44.3,0
6,26.7,1,13.24,4,35.05,1
2,49.46,5,7.73,3,70.0,1
3,49.18,9,9.37,2,79.25,1
6,28.14,3,7.22,3,52.53,1
4,43.93,0,11.32,5,41.21,1
2,21.57,3,1.0,0,13.33,1
4,0.0,3,5.5,1,55.79,1
3,49.25,1,1.0,2,54.69,1
2,63.59,3,1.0,4,42.83,1
4,21.68,3,1.0,3,32.26,1
1,58.42,2,10.78,1,33.02,0
3,41.12,2,5.41,8,43.01,0
2,75.32,5,3.24,1,46.72,1
0,56.32,2,3.34,3,35.17,0
4,23.15,2,10.3,0,69.51,0
2,85.46,2,12.86,3,97.89,0
3,49.6,1,1.0,3,20.08,1
3,28.91,2,10.56,3,73.21,0
3,37.55,3,25.22,2,46.69,0
1,32.78,2,19.81,1,39.42,0
3,50.58,2,8.49,1,64.21,0
2,44.58,2,10.24,5,53.77,1
1,34.86,5,18.11,5,39.21,1
1,34.79,3,10.38,6,58.29,0
1,64.65,2,18.47,2,51.08,0
2,23.35,2,25.69,2,30.63,1
4,65.99,6,16.52,3,65.52,1
2,78.4,3,9.28,2,40.21,0
3,63.28,4,8.47,2,36.61,1
3,80.43,4,15.15,1,35.87,0
1,63.67,4,13.6,1,65.73,0
6,64.49,3,11.43,4,22.3,0
4,58.18,3,3.97,1,51.96,0
1,48.0,5,15.81,7,46.74,1
3,65.99,5,1.0,4,52.1,0
2,16.42,3,11.73,6,67.1,1
2,72.56,0,15.07,7,46.0,0
5,43.23,5,4.19,3,90.32,1
1,75.1,3,7.46,4,34.72,1
2,62.94,1,6.9,4,35.45,0
3,23.22,2,1.0,3,45.38,0
2,59.79,2,9.07,6,29.99,1
3,71.73,4,3.24,6,53.37,1
5,64.29,4,9.65,3,66.2,0
3,31.55,5,6.25,0,60.66,1
0,70.52,5,1.0,2,65.22,0
2,50.77,3,11.94,2,25.0,0
1,24.66,1,15.26,1,30.59,0
1,40.65,4,9.34,1,29.08,0
2,93.47,1,6.39,1,75.12,0
4,69.66,4,10.22,4,35.27,0
1,46.14,2,16.9,4,62.44,0
4,46.75,3,11.13,2,61.28,1
2,49.62,0,6.68,1,55.96,0
3,36.92,3,11.59,8,23.5,1
3,34.87,5,22.82,3,77.55,0
0,74.36,6,21.18,2,68.18,0
4,64.9,1,1.0,3,40.79,0
0,56.98,2,5.73,1,22.22,0
5,26.48,1,18.32,2,42.63,1
4,59.77,2,16.24,1,21.1,0
4,35.18,2,12.44,0,44.53,1
4,52.05,2,1.0,2,52.66,1
3,48.7,3,4.31,4,49.19,1
3,43.92,7,1.41,1,72.46,0
3,28.97,2,26.75,4,71.43,1
4,86.01,1,26.48,3,66.26,0
3,27.45,4,8.0,7,42.75,1
1,47.65,1,1.0,5,58.68,0
3,25.46,2,17.03,3,56.05,1
4,49.44,4,1.0,0,66.27,0
7,21.67,2,17.15,4,60.22,0
6,59.12,1,10.31,3,49.43,0
4,48.89,4,13.06,1,54.06,1
2,70.26,2,6.75,1,70.24,0
2,55.35,3,7.31,5,69.05,0
3,86.68,2,1.0,3,64.0,0
4,24.98,7,25.74,2,6.73,1
1,51.11,1,13.14,4,74.79,0
4,41.97,2,3.78,7,31.64,1
3,44.49,3,16.99,6,48.52,1
3,66.57,4,22.72,2,61.81,0
4,41.89,4,15.1,8,85.56,1
3,53.1,2,1.0,4,34.54,1
1,61.51,4,12.38,1,20.16,0
3,74.79,0,1.0,4,28.88,0
2,28.49,2,1.0,5,4.26,1
5,48.61,3,4.67,6,74.27,1
2,39.7,5,9.99,2,26.52,1
5,79.97,1,9.61,2,17.0,0
3,57.62,4,25.87,2,31.2,1
4,49.22,3,5.89,3,80.26,0
4,45.12,3,3.29,1,56.97,0
1,31.32,4,3.2,2,54.46,1
1,36.97,2,1.14,1,25.85,0
1,25.51,3,4.58,2,78.83,0
3,38.65,3,20.33,7,42.33,0
2,45.0,1,20.08,2,13.72,0
6,73.38,3,2.78,1,47.95,1
2,45.67,4,20.61,3,49.37,0
3,65.42,2,11.78,4,27.71,0
7,68.42,3,22.8,3,56.41,0
4,47.24,3,13.73,3,46.56,1
1,35.91,3,14.9,2,40.28,0
5,100.0,4,7.19,3,57.8,0
4,39.29,8,13.17,3,36.23,1
5,37.04,1,6.5,5,60.73,1
5,49.07,1,20.24,5,18.66,1
0,37.71,4,7.0,3,65.12,0
4,24.51,4,18.71,4,0.0,1
3,52.38,2,12.78,4,78.41,0
3,66.48,4,4.6,6,83.27,1
2,58.69,2,13.12,3,83.12,0
5,37.84,3,6.41,2,78.3,0
1,50.0,3,13.23,6,54.47,0
4,89.39,2,15.73,3,37.99,1
4,36.17,2,15.88,4,22.37,1
3,77.79,2,7.39,0,55.69,0
3,73.01,4,19.8,3,75.37,1
0,25.47,4,3.69,1,25.37,0
1,52.28,3,17.3,3,48.28,1
0,46.43,1,24.41,1,70.31,0
3,62.32,2,20.81,5,42.31,0
2,33.88,2,6.18,0,91.93,0
6,60.03,3,5.4,2,54.14,0
2,41.25,2,19.17,4,41.81,1
1,28.27,5,12.52,3,36.09,0
7,72.37,1,22.54,4,29.44,1
4,96.47,6,8.16,0,66.77,0
4,61.27,4,7.15,4,64.13,1
3,46.59,3,9.74,5,15.42,1
2,32.17,2,12.71,4,35.76,0
4,46.12,0,4.91,2,28.48,0
3,39.45,2,16.9,3,57.05,0
7,21.01,1,14.02,2,46.66,0
3,70.51,0,1.0,5,49.14,0
1,48.74,3,4.68,2,43.32,1
2,33.37,3,9.97,2,72.52,0
0,56.56,6,5.71,1,62.43,0
2,26.17,4,1.0,1,64.39,0
4,48.57,6,18.53,6,42.48,1
4,68.14,3,4.82,4,10.13,1
1,57.29,2,5.51,6,54.28,1
3,38.13,2,6.06,1,21.35,1
5,49.58,5,7.78,0,49.75,1
3,43.95,3,1.0,0,25.61,1
1,28.71,1,13.23,4,42.86,1
3,68.89,2,20.42,4,31.6,0
3,68.91,1,12.05,2,63.21,0
2,38.74,3,11.24,5,32.44,1
5,47.45,7,1.0,1,100.0,1
7,58.89,4,7.16,4,50.27,1
2,22.29,1,18.22,3,27.93,1
4,79.68,4,15.53,3,29.4,0
4,37.77,6,2.84,5,64.67,1
1,50.18,3,2.62,4,73.91,0
2,87.92,2,6.5,5,38.86,0
0,32.76,2,3.82,6,64.55,1
2,44.2,1,9.34,2,0.0,1
4,67.95,2,7.04,3,74.09,0
1,62.61,1,4.23,2,91.04,0
4,75.77,2,1.0,4,37.79,1
2,58.39,4,13.67,1,48.88,1
1,67.34,2,11.57,2,53.83,1
0,25.05,2,8.06,2,52.38,0
1,57.98,2,5.25,2,49.05,1
4,36.96,2,1.0,2,9.12,1
3,40.13,2,14.85,4,24.43,1
4,46.28,3,9.95,4,38.16,1
6,82.48,3,7.94,1,62.56,0
4,37.11,3,8.64,5,56.11,1
2,29.34,2,14.86,2,44.08,0
6,37.03,0,14.83,3,38.46,0
5,25.2,2,10.57,8,53.65,1
8,70.87,5,19.5,2,47.39,1
2,61.58,3,18.48,4,64.23,0
2,53.5,2,11.53,3,54.29,1
4,44.8,1,11.8,2,57.76,0
0,53.88,5,13.56,2,40.17,0
0,80.1,1,16.7,5,37.21,0
6,45.38,1,13.27,1,50.67,1
1,94.16,2,18.0,6,48.31,0
2,90.83,4,5.73,3,55.94,1
2,68.36,1,1.0,3,58.94,0
8,27.34,3,1.0,4,42.5,1
6,69.72,2,9.59,1,29.7,0
2,40.02,3,1.45,4,43.62,1
5,28.18,2,11.81,3,69.88,1
3,61.85,2,17.71,2,46.69,0
2,78.01,3,10.65,0,67.16,0
6,85.46,2,8.71,8,33.96,1
1,26.73,3,18.12,1,70.81,0
1,73.44,5,15.35,3,33.82,1
5,57.61,3,8.56,2,92.95,0
4,53.88,2,17.67,2,59.75,0
0,40.25,2,2.89,1,39.56,0
3,26.35,2,16.9,2,61.86,1
1,82.26,5,23.17,3,39.36,0
5,52.25,2,4.15,5,64.03,1
4,14.28,6,6.44,2,32.97,1
4,59.46,4,17.12,4,45.41,0
1,52.97,3,19.1,1,44.73,0
2,56.45,2,9.0,2,27.8,0
5,62.51,4,4.24,4,32.1,1
1,20.89,4,3.74,3,83.01,0
1,92.07,4,6.07,3,81.68,0
3,100.0,4,23.38,2,52.12,1
2,52.09,2,9.51,0,59.86,0
4,76.69,2,16.22,1,57.53,0
5,40.82,5,1.0,5,18.01,1
2,45.03,6,7.89,2,22.72,1
4,27.15,3,14.58,2,35.09,1
2,65.03,4,13.69,5,37.48,0
4,56.63,3,1.78,6,49.12,1
4,65.9,3,14.98,1,55.43,1
4,44.32,3,9.97,1,51.26,0
3,45.62,1,20.41,4,49.15,0
1,70.1,4,5.7,3,0.0,0
4,64.91,2,16.88,4,86.5,1
3,30.95,3,1.35,2,24.88,1
4,53.61,5,30.65,2,52.6,0
3,51.58,2,9.45,0,65.5,0
2,49.67,2,11.43,4,21.75,0
4,52.97,3,25.85,3,25.08,0
3,61.8,1,17.42,1,45.16,0
4,49.91,2,13.57,0,39.51,0
5,43.58,1,15.3,1,22.88,0
1,57.36,2,1.0,2,25.72,1
1,80.58,3,18.35,4,76.55,0
3,25.35,0,1.0,4,48.92,1
7,83.9,4,7.6,5,15.37,1
1,52.53,2,26.97,5,55.37,0
5,29.94,5,4.06,1,19.46,1
4,50.39,1,11.67,4,55.36,1
3,50.2,2,9.79,7,64.61,0
1,66.66,5,19.47,3,49.09,0
2,56.32,1,1.0,1,31.7,0
3,73.83,2,9.93,5,50.87,0
3,72.51,5,21.87,4,78.76,1
2,61.61,4,15.25,2,56.96,0
3,52.36,4,7.1,3,42.79,1
4,62.54,4,6.8,2,68.46,0
3,35.01,7,15.55,4,44.08,1
1,92.73,3,20.96,3,70.68,0
2,54.25,3,1.0,2,85.29,0
