order_value,item_count,discount_pct,customer_return_rate,delivery_days,category_risk,target
219.88,2,30.63,86.05,44,2,1
298.49,2,61.8,65.11,8,3,1
190.63,4,43.45,70.32,5,3,1
119.25,5,70.41,36.85,37,2,0
97.57,1,55.43,62.09,19,5,0
70.08,1,38.33,56.92,36,4,0
195.63,5,62.83,25.85,26,4,0
162.06,2,76.04,22.86,38,2,1
109.39,4,36.06,53.17,11,2,0
202.33,3,25.79,36.45,24,5,1
244.34,3,36.95,53.58,11,4,0
229.64,1,33.04,60.92,3,5,0
428.52,3,52.34,87.69,44,3,1
257.16,6,41.37,34.56,46,5,1
92.94,0,43.99,44.99,39,2,0
86.96,5,48.56,39.78,33,2,1
252.89,5,36.11,54.26,52,3,0
200.07,5,39.89,67.92,42,5,0
213.1,2,43.85,50.94,15,2,0
76.07,4,56.82,66.42,38,1,1
449.19,2,66.66,25.89,24,2,1
96.44,2,27.46,85.66,49,5,1
63.06,3,71.62,79.85,43,3,1
52.23,1,65.72,40.02,24,2,1
161.53,5,87.91,95.02,53,5,0
385.8,3,33.71,97.94,32,3,0
438.94,2,50.54,30.3,46,1,1
55.06,4,65.1,18.29,42,3,1
165.98,4,40.62,40.71,46,3,0
246.76,0,6.21,52.86,25,3,0
49.29,2,50.09,38.96,56,3,0
129.26,2,50.62,55.68,45,5,1
148.1,4,35.78,53.27,18,2,1
167.26,2,47.39,36.22,49,2,1
107.51,5,46.37,62.48,6,4,0
159.33,3,29.53,46.04,50,1,1
323.58,4,35.77,37.81,24,1,1
269.1,6,30.57,37.51,53,5,0
173.41,1,40.93,50.04,21,2,0
68.73,1,56.76,50.94,51,1,1
141.6,3,69.48,48.93,53,5,0
60.07,1,25.57,17.9,49,3,1
132.08,2,30.88,39.24,10,4,0
85.11,4,71.44,76.25,51,4,1
38.81,3,31.35,83.05,48,4,0
232.74,4,72.79,56.86,10,3,0
680.44,0,47.08,23.95,50,2,1
360.6,4,25.68,43.81,60,1,1
212.92,4,55.15,46.39,16,2,1
879.2,0,58.87,72.02,46,1,1
239.32,0,64.59,55.59,35,5,1
357.13,3,54.91,7.65,7,3,0
169.87,5,36.34,64.26,17,5,0
207.1,2,59.31,45.55,42,2,1
118.41,5,41.52,57.99,10,1,0
65.15,2,6.51,41.3,35,1,0
189.99,4,56.56,81.1,34,5,0
112.15,2,71.29,75.31,35,5,0
437.82,2,61.88,51.5,52,5,1
437.88,2,35.86,38.7,46,4,1
210.64,3,52.08,53.98,31,4,1
174.35,6,67.86,68.9,43,4,1
93.14,3,39.97,77.85,36,5,0
119.33,2,70.09,69.42,0,5,0
167.63,4,69.09,29.24,32,2,1
231.77,3,63.68,49.59,34,4,0
52.53,2,52.9,49.71,29,5,1
74.77,3,39.87,50.02,10,2,0
272.49,4,78.12,37.59,48,5,1
124.06,1,69.44,52.99,15,1,1
175.94,4,28.48,56.74,51,4,1
138.63,2,48.17,83.66,14,5,0
205.73,3,32.65,68.62,15,1,1
163.6,3,74.02,58.37,54,5,0
191.39,5,42.0,33.17,21,3,0
310.31,6,0.0,56.07,37,3,0
69.15,2,55.12,60.59,3,3,0
664.97,0,57.23,49.07,9,2,1
136.94,2,55.6,27.6,13,1,0
124.18,2,43.93,68.95,11,2,0
267.17,4,43.84,65.14,3,5,0
42.11,3,52.38,40.57,28,2,1
133.75,3,3.09,60.27,29,3,0
160.54,3,41.36,57.94,60,3,1
839.34,5,67.63,79.08,24,5,1
108.52,3,46.28,47.09,30,4,0
101.33,2,31.15,70.36,25,2,0
338.22,3,26.82,44.88,27,2,1
104.24,3,56.03,20.64,17,2,1
261.45,3,42.15,45.33,49,2,1
71.59,4,59.82,24.91,51,2,1
142.13,3,84.3,87.84,17,1,0
252.02,2,71.43,60.29,48,4,1
22.22,6,87.52,76.79,18,5,0
605.25,4,24.35,36.49,8,4,0
245.49,4,67.96,47.99,8,3,0
203.95,1,43.28,56.19,6,1,0
89.01,5,47.16,66.78,29,2,1
359.01,3,82.97,28.72,48,2,1
125.42,5,33.89,46.87,36,1,0
59.53,2,65.9,54.68,51,3,0
259.77,3,13.09,43.18,36,2,0
348.56,2,75.75,33.32,17,2,1
218.33,2,57.34,30.69,14,2,1
92.86,4,51.58,60.88,29,3,1
121.33,3,16.04,70.47,60,3,0
173.33,4,22.23,46.13,46,3,0
48.49,5,57.48,52.23,35,3,1
24.76,6,55.15,56.58,26,1,1
110.4,5,46.28,86.44,4,4,0
126.87,4,36.76,94.06,17,3,0
114.53,3,32.92,48.07,58,5,0
128.34,3,43.48,35.51,8,1,0
145.24,2,46.77,77.47,53,2,1
94.6,4,93.47,37.65,28,5,1
68.29,5,47.01,48.72,24,2,0
145.23,2,69.15,48.67,29,1,1
107.54,4,35.14,55.7,43,4,0
135.54,1,37.06,72.89,43,4,0
104.49,3,32.63,47.86,4,3,0
125.71,3,61.72,51.97,13,4,0
121.74,6,56.29,0.42,24,2,1
143.09,4,43.6,63.82,34,5,0
126.7,4,48.66,47.33,40,3,1
73.87,6,57.15,9.78,39,3,0
56.67,2,56.61,55.54,20,1,1
113.03,6,53.56,28.32,14,3,0
99.44,2,55.56,30.89,58,5,1
447.45,2,100.0,26.6,0,1,1
189.12,2,43.63,57.39,60,3,0
134.29,3,39.19,27.78,20,2,1
202.12,1,41.11,65.82,34,3,1
76.34,3,47.88,82.9,17,5,0
598.95,3,38.86,75.6,22,2,1
216.76,1,17.81,64.41,50,1,1
149.23,2,21.46,49.23,16,4,0
378.93,5,26.11,34.82,53,5,0
200.6,4,21.05,70.65,49,1,1
332.85,4,27.22,44.39,15,4,1
389.59,8,35.12,74.76,27,5,0
700.87,4,15.44,92.93,14,5,0
172.77,3,40.66,1.97,48,3,1
231.76,2,3.52,31.83,1,1,0
173.17,5,69.42,42.39,5,5,0
179.56,3,55.34,58.17,36,3,0
308.25,3,90.43,46.71,6,1,1
134.69,3,60.11,74.81,31,3,1
558.59,4,77.63,53.17,6,1,1
115.11,2,73.52,53.37,31,1,1
150.6,3,51.23,63.32,28,1,1
262.62,2,47.74,61.01,36,2,0
108.75,4,10.1,34.2,55,1,1
159.91,2,71.64,42.09,55,5,1
315.61,0,43.73,59.02,49,2,1
109.43,2,47.36,17.87,12,2,1
55.66,6,47.28,37.49,4,1,0
353.11,5,45.94,27.87,44,5,0
106.76,0,71.87,47.47,26,3,1
70.26,4,80.22,31.84,7,2,0
177.29,4,61.25,54.75,54,1,1
102.73,4,44.55,31.27,51,2,0
326.72,2,82.64,96.13,44,2,1
43.71,3,63.61,55.26,29,4,1
92.63,3,47.1,50.73,28,1,0
258.98,1,25.69,73.46,39,1,1
145.82,4,62.62,70.76,26,4,0
79.97,3,77.86,61.05,39,2,0
74.57,4,65.92,51.33,10,3,0
37.12,4,62.06,66.44,32,1,0
70.97,4,55.53,32.92,50,4,1
373.22,5,45.62,39.05,27,5,1
527.41,4,100.0,9.43,3,4,1
204.72,7,37.66,58.06,54,3,0
136.12,1,100.0,9.27,21,4,1
76.86,2,74.92,64.66,5,5,0
60.91,0,86.23,57.93,24,1,1
611.01,3,38.1,84.79,23,4,1
193.68,3,6.94,51.65,54,2,1
95.23,2,67.49,0.62,9,2,1
326.89,3,42.66,66.97,43,4,1
134.06,6,81.87,45.67,4,4,0
43.15,5,28.88,36.28,15,1,1
95.59,2,48.23,64.68,27,4,0
79.2,4,47.42,51.76,6,4,0
276.49,4,67.75,14.63,39,1,1
36.33,2,40.96,40.45,54,4,0
157.18,1,54.47,73.78,5,1,0
167.8,2,67.43,82.49,45,4,1
277.08,1,36.46,7.5,59,5,1
113.87,8,46.32,61.39,38,2,0
55.91,3,32.56,82.03,19,5,0
360.69,4,48.42,9.85,16,4,1
156.75,3,46.1,68.91,34,4,1
163.18,0,48.55,30.75,11,1,0
187.57,2,58.67,51.5,14,5,1
69.16,4,65.98,41.21,42,4,0
307.76,2,61.31,79.06,5,2,0
199.54,4,33.49,78.73,16,3,0
393.81,2,41.35,24.03,9,3,0
246.37,4,36.77,70.28,54,3,1
216.77,1,4.95,62.27,4,3,0
241.97,2,39.04,84.83,58,5,0
49.87,1,41.28,22.04,55,4,1
553.79,2,42.74,43.71,32,3,1
207.81,4,72.32,56.97,15,4,1
206.41,3,64.55,9.05,16,3,1
123.86,5,40.16,73.64,4,2,0
140.6,4,84.09,76.28,28,1,1
188.23,4,85.65,72.15,23,1,0
164.0,2,76.98,39.43,59,5,1
107.28,3,71.72,81.41,58,5,0
134.65,4,16.07,79.85,32,5,0
297.04,3,44.07,5.01,53,1,1
310.83,6,48.55,68.11,25,5,0
39.6,6,52.91,49.44,33,3,0
269.45,5,81.38,43.77,50,3,0
108.77,5,53.36,78.04,43,5,0
84.4,2,62.96,66.47,33,2,0
62.76,5,77.55,41.93,7,2,0
55.81,2,43.13,39.44,4,4,1
220.49,3,58.86,64.83,14,5,0
145.14,5,36.3,71.25,17,5,0
117.32,4,46.98,83.88,21,5,0
77.48,1,31.49,24.66,55,3,1
150.31,4,67.6,44.71,19,4,0
273.83,3,29.79,32.57,42,1,1
161.93,2,49.92,56.11,17,4,0
87.92,3,33.85,56.64,18,2,1
623.44,2,14.84,61.9,53,2,1
216.88,3,45.09,27.52,28,2,0
50.5,3,80.62,36.85,32,2,1
141.04,4,16.86,37.94,26,5,0
76.9,2,39.15,29.25,47,1,1
173.05,2,79.81,43.45,32,4,0
84.5,1,35.01,67.57,58,1,1
172.93,0,37.35,100.0,5,5,1
389.24,4,40.26,97.47,41,3,1
393.09,2,22.16,57.65,10,1,1
124.91,6,39.92,54.18,48,5,0
158.82,4,29.75,26.43,54,2,1
327.39,5,61.72,81.49,52,1,1
199.69,1,66.77,71.64,34,4,1
71.12,2,61.34,33.28,5,1,1
138.52,3,62.99,78.31,51,3,1
45.47,4,50.18,66.31,37,5,0
109.36,4,25.76,46.07,6,2,0
62.87,2,59.16,11.54,27,3,1
220.71,1,65.99,66.93,16,3,1
745.14,7,46.52,30.65,20,1,1
276.11,1,29.3,36.49,16,3,1
114.37,1,14.41,15.07,17,5,0
71.13,2,18.36,77.27,16,4,0
118.77,1,37.43,49.14,18,1,1
83.87,1,46.96,33.54,2,4,0
56.59,3,48.64,47.31,42,3,0
129.83,3,49.56,46.18,15,3,0
237.38,2,59.68,49.47,24,5,1
206.89,3,23.22,39.92,23,3,0
315.12,5,84.72,66.07,56,4,0
135.92,1,97.24,18.81,50,3,1
297.16,2,64.17,100.0,22,5,1
408.01,2,77.01,42.34,9,1,1
174.85,3,66.76,33.06,39,4,1
151.77,4,33.65,58.6,43,4,0
167.36,5,24.24,26.38,27,2,0
67.27,2,46.38,58.26,25,2,0
173.98,5,58.21,43.91,37,3,1
58.12,4,42.91,62.77,20,4,0
70.87,3,81.64,36.34,38,3,1
62.36,1,67.61,28.66,12,5,1
296.27,4,49.08,43.46,46,2,0
107.24,2,37.07,67.04,55,4,0
96.5,3,34.62,22.87,34,3,1
176.49,2,47.3,33.02,56,5,0
173.46,1,21.01,23.13,0,1,0
149.05,0,48.86,53.64,22,4,0
99.11,2,28.78,44.12,9,4,0
420.07,4,44.34,28.88,56,4,0
101.96,1,64.23,19.41,8,4,0
101.97,7,89.8,34.14,44,1,1
156.5,5,61.57,59.14,55,3,1
331.22,2,69.3,23.84,40,5,0
123.36,1,64.1,40.66,11,1,1
31.01,5,76.72,63.72,25,2,1
120.27,4,37.31,65.52,34,4,1
138.79,1,45.72,50.11,56,3,0
235.11,1,85.83,62.49,59,5,1
268.11,3,49.04,52.77,20,3,0
131.84,5,63.19,17.39,48,1,1
175.57,5,83.23,37.29,58,1,1
233.32,4,56.76,53.39,50,2,1
176.89,2,51.93,41.73,59,1,1
86.75,4,52.21,50.82,20,5,0
206.36,0,39.67,64.57,29,2,0
164.47,0,87.04,78.82,35,2,1
327.7,2,45.63,49.25,13,3,1
45.09,5,45.29,31.17,18,2,1
115.94,6,22.14,56.85,55,1,0
241.61,2,61.48,78.06,33,1,0
316.21,7,26.05,37.8,14,5,1
114.64,7,23.02,70.03,29,3,0
342.52,4,69.57,50.89,20,4,1
168.77,3,36.11,69.65,28,3,0
287.66,4,65.9,42.47,55,5,1
174.3,3,38.98,56.89,31,4,0
402.2,3,46.38,68.63,28,4,0
134.84,1,59.51,27.95,56,3,1
126.77,4,56.5,42.47,27,2,0
44.82,5,80.6,93.26,13,3,0
117.73,0,99.02,47.7,54,5,0
237.92,5,84.64,46.38,8,4,1
152.75,3,77.79,10.02,14,1,1
350.95,5,51.77,41.89,31,4,0
445.09,1,36.26,56.59,43,3,1
341.87,2,45.43,41.98,41,5,1
60.36,3,84.24,67.62,43,1,1
37.03,1,47.77,47.04,13,4,0
106.69,2,51.91,25.47,46,1,1
933.45,2,53.28,47.24,23,1,1
98.61,3,54.49,81.25,40,2,0
313.81,3,66.05,47.9,12,4,0
159.13,3,40.95,70.25,2,3,0
190.5,3,64.09,72.06,11,1,1
173.83,1,32.69,51.16,15,2,0
471.04,3,26.04,53.64,7,1,0
218.7,7,17.42,26.3,43,2,1
124.61,2,58.35,93.59,8,3,0
176.36,1,60.06,32.65,7,5,0
257.53,0,56.18,54.56,17,3,1
268.57,0,34.52,20.78,18,2,0
164.46,6,36.52,59.32,40,5,0
78.09,1,16.29,57.52,28,3,0
132.26,1,26.7,67.7,33,3,1
97.73,5,56.13,51.44,12,1,1
306.98,4,38.79,40.16,59,4,0
34.08,4,37.49,26.17,7,2,0
164.26,6,34.61,27.62,53,5,0
36.2,1,49.5,12.08,18,5,0
170.06,3,41.74,27.09,5,3,0
292.33,2,65.58,61.72,49,5,1
60.4,4,64.56,71.5,46,5,0
142.97,5,42.76,39.34,40,1,1
61.51,4,62.27,0.0,11,3,0
278.15,0,53.05,53.8,2,5,1
109.41,1,37.84,44.44,44,5,0
345.07,4,45.26,23.73,23,5,1
149.86,3,49.97,46.36,12,3,0
331.56,3,28.48,56.78,40,5,0
233.24,6,27.96,28.18,28,4,0
89.55,1,24.81,36.79,42,4,0
188.64,2,84.32,62.2,44,1,1
164.56,2,57.27,57.1,10,1,0
79.35,1,58.53,50.83,41,2,1
238.7,3,44.38,27.89,55,1,0
77.32,3,28.06,45.34,6,1,1
79.9,2,56.9,50.42,17,4,0
208.76,1,32.91,53.5,49,5,0
105.0,4,51.14,50.63,44,1,1
66.71,1,55.51,56.62,12,1,1
96.72,0,60.02,42.99,47,3,1
313.36,6,38.14,61.73,43,4,1
55.94,4,68.78,59.05,35,2,1
44.44,1,69.8,25.36,9,5,1
448.43,2,59.42,26.85,22,4,1
264.49,5,39.12,64.62,43,1,1
122.59,6,26.56,94.83,9,4,0
117.67,0,92.86,66.2,18,4,1
244.56,2,42.21,40.96,17,4,0
186.28,6,79.81,45.7,57,5,0
208.77,1,40.5,42.43,39,4,0
70.88,1,63.97,63.18,16,1,1
74.26,3,34.75,53.66,42,4,0
81.45,2,39.01,48.24,51,2,1
161.68,4,51.48,77.37,29,4,0
600.11,4,67.76,43.43,57,3,0
135.92,5,50.0,43.96,57,4,1
86.15,3,35.48,49.89,8,3,0
61.47,4,37.91,26.47,57,1,1
141.48,3,61.71,25.89,35,3,1
113.81,2,76.54,60.03,43,4,1
96.55,3,43.02,24.88,34,3,1
268.5,4,48.01,30.25,12,2,0
439.35,2,62.36,90.38,20,1,1
289.28,4,38.6,31.27,1,4,0
146.37,2,38.5,85.84,58,3,0
97.76,2,62.33,66.03,17,2,1
107.34,1,55.18,0.0,12,3,0
188.58,6,24.69,36.34,55,5,1
165.47,1,19.28,39.8,13,3,0
11.9,2,69.54,32.94,51,4,0
889.22,8,37.07,73.6,2,5,0
155.98,6,21.84,64.22,52,2,1
380.79,4,85.08,24.0,36,2,1
112.86,1,58.5,62.04,31,1,1
231.45,2,72.37,53.45,49,3,1
55.26,2,79.76,65.28,20,5,0
41.24,3,41.11,63.45,30,1,0
207.92,9,63.18,24.33,2,5,0
320.03,1,61.79,67.3,42,4,1
65.2,6,77.24,50.25,1,1,1
562.27,7,58.49,77.82,35,1,1
145.01,4,66.85,40.64,24,5,0
244.19,5,44.77,66.5,59,3,0
147.21,3,60.8,72.51,22,3,0
75.9,3,44.3,37.57,46,1,0
68.19,2,15.53,52.77,46,5,0
202.53,3,41.18,5.57,41,2,1
102.52,3,68.45,71.92,35,1,1
107.26,2,80.55,60.75,27,4,1
70.28,3,65.42,81.53,45,4,0
108.35,3,65.96,36.68,12,5,1
71.08,3,37.6,42.24,13,5,1
82.51,4,10.52,60.19,4,1,0
54.04,6,35.55,83.61,14,3,0
118.47,3,43.52,38.62,10,4,0
158.34,2,63.99,79.28,38,3,1
115.37,5,60.76,79.05,34,1,0
31.62,1,36.54,52.66,27,2,1
150.16,1,39.48,55.74,44,4,0
220.22,0,52.54,47.31,25,3,1
190.28,5,69.03,52.49,26,1,0
230.62,4,87.76,0.0,21,3,0
352.53,4,75.06,35.18,7,2,1
99.22,2,52.89,49.18,17,3,1
312.39,1,31.18,48.2,1,4,0
124.57,6,29.86,48.66,29,2,0
150.59,3,56.51,48.74,36,2,0
21.04,5,34.55,70.21,31,3,0
491.89,0,14.25,79.54,25,1,1
80.0,6,26.39,22.06,37,5,0
91.01,2,19.59,29.01,39,1,1
82.15,7,36.76,74.86,5,4,1
85.28,1,44.06,35.81,34,4,0
59.08,1,67.55,5.67,35,5,1
80.11,3,33.26,18.6,23,4,1
545.12,2,43.02,54.86,33,2,1
818.4,3,20.7,91.25,24,3,1
97.71,3,45.94,57.04,38,1,1
455.87,2,55.76,27.73,14,2,1
22.94,1,36.51,64.66,32,1,0
252.63,2,52.18,29.64,45,3,1
181.03,3,37.03,32.42,22,2,0
81.02,3,31.07,82.39,3,4,0
