temperature,vibration,pressure,runtime_hours,maintenance_gap_days,power_draw,target
76.67,3.9,107.63,17.44,54,224.97,0
86.11,3.8,102.02,11.6,35,163.09,1
90.64,1.24,117.89,1.0,4,127.01,1
74.28,7.11,113.27,18.24,15,110.7,0
77.73,3.86,107.02,21.63,21,133.89,0
63.12,5.58,76.52,19.23,38,279.08,0
62.67,5.15,112.75,15.07,27,221.58,0
52.26,3.38,80.5,10.11,49,210.16,1
72.63,2.3,83.47,1.0,25,126.87,0
73.92,3.62,131.57,1.0,49,116.53,1
80.51,0.85,83.61,1.0,35,34.07,1
68.57,1.59,97.93,1.0,50,90.87,1
58.15,5.35,88.74,5.01,60,251.34,0
68.68,1.31,90.26,11.47,9,281.12,0
82.75,6.55,105.56,18.25,51,273.69,1
65.09,6.24,85.74,19.59,3,242.15,0
61.61,3.92,87.57,13.68,9,155.95,0
76.83,4.88,107.36,12.11,30,57.94,0
62.37,6.39,98.3,13.87,11,309.23,0
75.49,4.5,95.59,17.34,46,253.23,0
70.18,5.67,61.66,1.0,34,85.94,1
77.62,4.23,92.69,1.0,9,163.2,1
81.56,0.97,106.78,16.54,58,62.1,1
59.19,2.65,53.31,11.89,42,50.52,1
58.17,5.81,107.28,24.88,7,101.9,1
73.96,0.1,93.16,3.77,7,59.24,0
76.25,2.02,113.49,15.6,7,214.08,0
65.2,2.31,83.79,6.51,21,57.05,1
64.36,4.86,155.71,15.12,49,203.59,1
56.74,2.43,106.65,16.02,13,448.72,0
65.46,5.98,113.46,6.56,2,172.58,0
76.61,3.05,118.74,17.17,56,57.56,0
68.99,2.81,119.4,15.53,27,169.28,1
73.76,3.21,104.15,1.0,43,133.95,0
68.9,3.38,77.06,17.25,22,129.21,0
70.12,1.74,107.2,7.8,56,378.75,1
79.53,6.83,114.34,13.63,15,71.52,1
66.1,2.79,107.85,27.56,32,508.05,0
63.31,2.44,101.29,17.22,40,77.0,1
73.42,1.52,99.28,1.0,52,275.99,1
81.95,4.82,115.96,16.01,31,100.64,1
76.67,1.58,120.9,3.86,54,165.15,1
70.87,4.22,69.78,1.54,2,339.62,0
60.54,4.11,87.99,20.01,9,33.38,0
69.23,3.36,95.85,12.25,42,1038.56,0
70.71,3.01,114.42,1.4,14,254.26,1
53.36,1.85,82.94,6.23,30,334.96,0
61.9,5.25,118.09,17.94,16,97.32,0
83.97,4.2,105.82,9.27,39,272.16,1
84.18,1.84,114.24,9.15,8,109.91,1
54.16,3.69,141.34,1.22,10,136.08,1
76.63,6.43,93.37,9.51,5,120.08,1
96.66,1.85,107.08,3.37,21,144.8,1
70.1,4.6,84.82,1.11,42,153.28,1
75.53,2.83,66.09,11.79,3,482.57,0
69.76,3.53,117.98,12.19,29,441.6,0
56.56,3.56,97.87,18.01,44,567.41,0
77.73,4.78,129.3,18.6,51,740.31,1
73.65,4.06,98.83,25.67,22,613.77,0
46.16,3.54,115.42,1.0,53,156.83,0
56.44,5.57,135.47,12.7,36,96.2,0
70.81,1.34,138.93,6.45,22,124.57,1
84.87,5.82,72.16,16.9,8,63.59,0
68.92,6.45,107.58,8.95,43,89.41,0
53.84,0.94,122.21,1.0,46,78.13,1
72.3,5.68,114.68,11.67,57,164.49,1
48.95,4.44,106.03,11.73,5,147.44,1
54.13,6.64,60.56,22.24,51,96.27,0
84.76,2.73,106.32,11.1,30,109.55,1
70.62,4.52,110.11,10.38,19,265.44,0
74.51,3.65,81.52,18.5,48,126.5,1
56.19,3.67,85.72,1.0,20,183.76,1
79.49,2.94,80.6,7.31,24,83.37,0
82.17,4.6,125.65,11.52,30,202.31,0
50.6,6.64,93.12,2.25,59,80.81,1
78.09,3.37,108.72,17.39,6,247.39,0
56.03,4.88,123.3,9.85,12,143.95,1
70.76,5.33,85.17,22.6,43,25.68,0
78.72,3.6,110.13,10.17,55,41.18,1
69.52,5.29,68.82,7.88,26,75.92,1
74.15,5.03,86.42,1.0,54,231.93,0
61.4,4.13,114.22,1.62,13,120.6,0
64.27,5.09,91.07,22.11,43,135.31,0
49.07,4.02,104.39,12.49,50,147.43,1
65.66,5.12,121.65,7.73,53,125.92,1
60.24,5.02,96.06,3.45,48,157.56,1
52.14,6.42,122.48,20.93,28,293.15,1
63.94,3.24,85.22,13.6,38,101.43,0
86.74,6.22,109.07,20.2,28,649.82,0
89.96,3.84,139.18,9.06,15,262.97,1
78.42,1.84,54.8,14.73,2,149.55,0
65.87,6.15,102.09,3.06,6,140.02,0
72.67,1.2,115.71,18.24,54,568.7,0
81.95,4.57,82.55,11.58,26,506.47,0
69.42,2.78,83.36,16.25,5,226.1,0
86.73,3.89,88.01,17.02,60,238.34,1
73.2,3.5,96.63,18.13,20,142.66,0
62.6,3.12,93.5,18.58,59,76.39,0
74.12,1.82,80.44,8.08,0,133.95,0
91.2,1.73,102.03,4.89,57,107.54,1
75.33,6.94,131.1,16.83,58,131.06,0
70.76,5.4,90.01,19.09,53,90.51,0
64.19,3.96,84.23,7.14,28,167.46,0
65.46,4.77,93.12,10.92,30,446.25,1
74.77,2.18,121.77,11.19,13,199.48,0
59.5,3.14,92.2,9.74,53,149.99,1
69.82,0.1,90.63,19.37,54,113.68,0
76.45,2.48,85.32,18.33,21,744.91,0
39.24,1.64,99.41,5.54,13,101.63,0
58.8,1.79,83.87,20.69,42,89.62,0
85.98,2.61,85.83,17.88,39,969.47,0
75.79,5.62,95.04,10.52,24,157.08,1
49.18,4.94,106.3,23.4,6,231.22,0
74.2,3.73,89.3,24.84,18,75.06,0
68.1,6.48,72.2,6.9,21,100.79,0
80.91,3.61,118.86,12.61,21,128.14,0
78.04,1.82,118.85,26.95,37,379.16,1
77.3,5.29,124.34,6.73,41,68.74,1
61.06,1.31,105.77,1.0,20,290.66,0
83.1,4.3,74.53,1.0,49,93.76,1
79.94,2.85,134.9,8.64,42,22.39,1
62.03,6.93,93.69,13.14,56,181.67,0
62.11,1.83,124.01,5.89,50,313.09,1
68.26,4.17,91.01,9.84,32,325.76,0
80.82,3.24,101.26,8.68,33,76.41,1
58.53,3.63,80.47,8.1,26,522.65,0
68.42,3.03,86.87,11.09,41,310.47,0
68.18,2.62,110.71,24.43,30,161.71,1
65.62,5.98,101.96,5.56,2,178.92,0
69.87,3.61,85.81,13.06,18,138.12,0
77.93,4.38,96.4,15.06,59,66.98,1
67.26,4.15,87.27,18.69,34,125.02,1
52.9,2.21,94.68,5.62,20,102.19,1
86.03,4.68,101.86,3.02,46,135.81,1
83.85,1.59,99.69,3.43,29,157.19,1
77.77,2.81,93.92,22.65,44,97.1,0
67.88,6.62,90.68,20.94,7,103.2,0
67.22,1.44,98.25,14.76,46,109.14,0
83.4,4.16,62.91,12.67,53,80.5,1
105.03,5.25,65.12,1.0,19,60.55,1
75.94,4.39,105.07,1.0,22,97.76,0
66.44,4.8,110.43,23.37,10,674.61,0
57.78,5.6,88.6,7.29,36,52.41,1
58.96,2.21,115.91,11.78,48,507.49,1
81.9,5.33,105.37,6.65,17,96.35,1
57.08,2.15,95.29,3.93,24,163.81,1
84.15,6.48,79.83,16.49,50,253.65,0
55.85,3.39,114.79,1.0,56,115.22,1
86.53,2.87,122.53,13.06,54,74.27,1
79.76,6.87,105.34,18.82,56,88.98,1
45.44,3.96,95.39,7.16,55,143.39,1
81.47,3.47,77.3,3.47,3,105.56,0
56.51,5.39,95.33,11.14,32,55.78,0
64.42,4.16,78.74,1.0,40,277.45,1
90.48,3.93,120.78,20.35,54,117.59,0
45.08,3.73,86.17,1.0,24,181.42,1
71.69,4.07,109.35,15.3,55,88.97,1
73.31,4.71,91.3,14.09,6,31.02,1
60.36,5.43,105.75,1.0,14,94.05,0
75.51,0.57,84.11,13.88,13,97.97,0
73.6,6.04,80.86,12.91,54,129.98,1
87.26,3.82,108.38,22.0,1,239.76,1
65.38,6.78,122.53,1.0,53,416.23,0
60.18,3.38,95.78,13.38,41,25.46,0
55.26,2.54,100.23,16.39,24,236.76,0
65.34,4.11,59.62,1.0,46,345.11,0
77.4,2.28,129.73,17.79,21,155.32,1
85.17,3.93,79.97,1.0,56,187.36,1
55.23,2.33,41.16,1.0,58,261.87,0
101.19,8.17,77.36,20.65,57,128.58,1
102.79,3.61,102.79,8.16,58,212.08,1
75.86,2.81,85.15,1.0,44,24.82,0
52.89,3.82,76.33,1.0,12,109.37,0
79.42,3.91,84.05,12.58,46,253.05,0
67.53,3.96,85.52,9.65,54,218.67,0
73.43,4.36,108.49,1.0,52,353.14,1
63.3,3.09,110.4,1.0,10,241.41,0
67.39,4.27,97.35,9.26,20,123.92,1
92.27,4.03,95.58,21.4,39,74.83,1
66.76,4.53,93.42,1.0,28,180.95,1
71.9,3.37,98.37,22.28,48,170.99,0
54.4,2.9,117.9,2.26,21,188.78,1
76.81,1.28,122.62,2.51,57,218.12,1
42.29,3.65,81.78,4.29,13,182.94,1
61.59,0.57,89.92,15.77,24,276.24,1
72.52,4.61,99.97,1.0,8,209.99,1
42.79,1.56,103.25,1.0,50,216.22,0
57.39,5.07,74.69,2.85,45,207.13,0
49.39,6.03,113.79,1.0,2,86.31,0
54.38,4.84,71.96,15.81,42,290.48,0
88.98,2.94,85.72,7.25,27,176.93,1
70.18,7.83,95.14,6.28,1,271.57,0
89.69,3.9,72.57,7.64,13,77.78,0
77.74,3.56,102.46,1.07,59,121.92,1
89.03,3.27,115.54,5.08,10,75.24,1
72.61,5.66,98.99,14.92,36,327.75,0
81.82,2.55,100.03,15.51,23,194.3,0
60.87,2.55,119.59,13.48,55,208.02,1
71.86,3.5,127.05,2.45,6,317.61,1
85.88,6.06,71.6,11.62,60,148.04,1
55.93,3.21,101.13,10.97,31,387.48,0
85.97,3.45,99.95,12.31,57,131.64,1
74.61,4.01,111.89,2.46,13,28.76,1
72.98,0.66,121.92,6.18,15,219.97,0
56.99,3.33,109.45,12.08,56,68.84,1
52.81,5.03,85.74,1.0,5,326.76,0
78.44,2.44,130.7,14.59,10,92.65,1
62.46,6.38,111.2,23.37,47,82.44,0
64.72,4.06,90.05,24.77,22,330.91,0
71.94,4.57,114.04,4.53,54,84.82,0
75.37,4.32,129.49,16.18,18,69.76,1
74.69,5.37,125.35,12.03,12,53.69,1
65.59,3.18,76.87,17.07,42,622.22,0
53.34,3.91,86.85,1.0,28,121.7,0
66.1,3.3,124.03,6.03,52,248.84,1
60.05,2.69,116.35,12.81,41,179.93,1
93.63,2.61,73.07,10.78,43,141.85,1
72.01,3.78,96.82,4.44,41,135.91,1
68.96,6.82,90.17,34.86,7,163.1,0
70.58,5.62,68.58,9.25,42,281.58,0
80.32,1.08,84.5,12.42,39,534.7,1
87.45,5.42,116.14,11.05,32,245.96,1
67.53,6.15,69.51,20.84,45,69.62,0
81.3,4.29,111.63,8.25,25,65.56,1
81.78,4.0,112.53,13.59,59,22.21,1
73.05,2.21,100.7,5.13,52,148.24,1
62.68,2.9,106.27,14.19,59,132.15,1
79.33,2.64,101.69,21.09,21,132.97,1
75.86,2.85,105.44,16.25,33,522.14,1
69.92,3.99,110.47,8.69,5,343.57,0
69.8,2.37,82.99,20.49,13,150.14,0
73.77,4.18,124.84,1.9,51,157.58,1
59.61,5.6,93.32,12.4,21,180.19,0
91.43,4.35,84.47,16.8,49,132.7,0
69.12,2.68,115.42,7.04,15,94.74,1
84.33,4.25,90.69,30.69,54,71.8,0
60.72,6.19,115.21,5.63,31,46.39,1
68.8,7.75,85.99,13.7,42,78.4,0
62.84,7.99,125.44,1.18,22,163.35,1
73.1,5.84,133.68,11.12,37,141.75,1
57.84,3.9,120.01,19.72,41,173.24,1
71.15,3.41,98.34,1.3,52,118.85,0
68.09,4.7,108.34,14.46,8,43.26,0
79.43,3.7,63.26,3.42,34,127.76,1
55.89,5.72,89.24,3.07,58,43.47,1
72.68,2.88,103.14,14.71,5,128.55,1
62.6,4.14,121.73,12.32,8,28.93,0
79.1,2.58,92.31,5.79,47,423.52,0
60.07,4.09,108.58,7.9,29,185.74,0
62.47,3.34,113.3,5.57,31,40.82,1
63.74,3.0,68.36,1.0,22,453.53,0
82.05,4.1,124.99,3.18,57,33.71,1
58.71,5.57,96.89,22.15,23,560.93,0
66.66,5.82,101.02,16.89,29,47.36,0
72.58,3.33,113.68,11.22,54,364.9,0
69.35,4.68,82.97,26.36,49,74.15,0
87.0,5.91,86.4,1.0,37,135.4,0
62.9,5.23,106.98,2.37,2,241.6,0
76.52,5.88,123.97,2.91,59,76.77,1
53.96,2.7,75.63,8.93,1,80.89,0
52.27,3.0,114.14,7.1,16,54.34,1
67.06,5.9,100.83,3.37,2,153.05,0
55.23,2.32,74.18,1.0,49,261.2,0
59.57,4.53,80.47,1.0,12,77.88,0
71.99,1.05,54.8,13.8,1,179.73,0
41.81,3.18,89.3,3.76,49,298.64,0
65.89,4.18,108.02,6.3,3,783.27,0
71.65,4.13,135.39,1.63,5,84.71,1
63.28,4.82,101.7,16.54,57,31.39,1
86.73,8.14,81.09,21.74,0,126.79,0
67.44,2.4,92.92,11.01,20,127.93,1
74.6,6.11,82.99,1.04,34,57.66,1
54.87,1.86,86.25,1.0,31,140.97,0
96.02,4.68,87.15,13.72,8,180.66,0
58.05,5.13,71.14,13.35,43,148.27,0
73.25,2.73,95.7,21.47,37,134.88,1
53.61,3.88,81.42,1.0,33,149.14,0
70.01,3.42,73.13,10.57,55,439.5,0
48.23,7.08,103.61,8.86,28,198.56,1
78.03,7.71,68.39,11.66,19,150.66,1
84.64,2.88,84.05,1.19,11,220.83,1
71.31,5.96,105.46,25.04,2,129.64,0
66.6,5.45,106.27,23.3,13,241.38,0
70.39,6.92,96.92,1.0,10,279.27,1
74.61,5.11,109.33,16.57,12,256.71,0
53.95,4.63,113.45,10.8,12,259.87,1
65.02,4.49,95.04,5.41,52,148.32,0
61.08,2.81,61.86,1.0,21,240.68,0
72.8,3.81,86.88,12.27,5,142.83,1
68.25,0.91,133.04,14.25,10,96.61,1
74.34,4.25,108.09,5.58,5,118.61,0
58.92,5.21,101.1,2.2,18,56.95,0
56.78,5.97,107.32,8.69,25,124.5,1
97.98,3.55,112.38,6.45,40,337.74,1
76.59,4.81,93.26,3.2,26,842.18,0
44.94,2.71,100.81,1.0,30,127.58,1
80.73,3.05,100.16,17.86,26,238.79,0
77.51,4.52,92.65,7.71,3,109.47,0
74.74,5.77,104.61,16.4,19,227.94,0
51.27,7.66,96.81,1.0,55,109.5,1
67.28,2.96,105.33,15.09,56,92.47,1
60.96,3.21,112.99,25.95,58,166.91,0
56.99,8.34,115.86,9.17,46,31.08,1
65.16,6.92,113.89,27.5,52,222.47,0
90.63,5.4,114.96,5.74,36,93.41,1
70.09,4.8,67.09,6.77,9,68.46,1
60.13,5.42,158.57,4.13,6,216.13,0
72.27,4.83,100.11,8.66,52,175.19,1
73.95,5.33,76.86,11.52,24,117.74,0
84.54,4.9,70.99,14.88,57,260.17,0
40.67,5.3,118.74,3.88,23,63.42,0
74.8,5.61,100.54,22.19,11,126.78,0
57.19,2.98,87.02,2.55,21,79.54,0
46.52,3.17,136.77,22.83,49,62.97,1
68.22,5.67,96.5,17.18,9,225.76,0
63.14,2.24,92.25,3.87,17,71.34,0
81.02,4.19,83.06,13.61,14,214.91,0
70.53,0.12,117.86,7.66,37,163.01,1
53.55,6.01,110.97,10.29,40,69.49,0
56.35,0.1,80.03,16.02,32,97.88,1
65.96,4.8,118.0,16.81,14,97.74,0
65.64,2.14,108.43,16.19,13,238.39,0
69.81,3.07,131.06,11.76,60,45.55,0
94.95,6.27,88.28,11.23,12,46.53,0
57.96,3.92,84.58,16.06,33,254.48,0
62.82,4.1,106.33,7.4,6,85.68,0
79.47,6.28,81.48,16.02,39,219.05,0
66.91,4.61,108.65,1.0,0,36.95,0
78.86,4.48,96.91,1.0,13,89.41,0
76.15,8.22,127.37,15.85,13,48.2,1
75.77,5.01,96.33,1.0,3,297.94,0
68.86,2.86,110.76,16.93,7,266.63,0
78.61,3.22,112.54,16.78,37,191.72,1
61.47,3.44,93.45,16.58,32,944.23,0
71.24,5.11,121.96,5.99,47,58.57,1
54.13,3.37,112.45,14.53,27,87.72,0
78.92,4.19,101.07,24.3,22,302.45,1
75.89,4.11,126.04,13.4,49,100.13,1
59.24,3.28,106.31,1.0,32,33.68,1
45.0,6.67,105.32,8.08,46,366.81,1
88.09,5.06,115.3,1.0,35,136.12,1
75.05,4.61,73.1,9.1,44,256.57,1
83.83,3.39,116.49,10.63,4,380.11,0
64.26,2.2,64.72,12.31,8,197.02,0
85.24,3.32,79.88,14.66,11,145.69,0
60.47,2.84,87.82,5.74,51,110.06,1
68.7,1.07,120.89,1.0,47,388.46,1
66.81,2.9,109.69,20.69,41,116.21,0
69.05,1.86,137.83,6.54,12,66.05,0
70.29,3.89,110.25,18.52,54,36.58,1
55.76,3.17,111.69,10.98,19,357.96,0
74.01,4.29,96.73,8.56,15,212.19,1
55.81,4.67,83.82,7.57,38,56.21,0
57.36,4.3,60.52,4.1,34,119.48,0
86.2,3.61,102.96,23.13,34,101.56,0
98.83,5.33,80.93,11.07,11,174.53,0
78.5,5.15,141.51,23.56,35,110.54,0
78.78,2.73,130.36,15.38,4,43.96,1
56.17,2.82,137.26,18.76,59,59.68,1
58.22,2.98,95.42,2.81,21,345.24,1
60.43,3.57,131.04,16.72,50,121.27,0
76.35,4.44,117.76,9.85,43,226.05,1
73.16,5.23,56.29,13.26,43,154.61,1
64.12,3.52,93.5,2.65,40,235.94,1
71.87,1.21,87.04,11.35,21,566.64,0
55.43,2.5,93.38,9.28,26,114.21,0
86.92,4.77,114.98,14.68,40,79.41,1
84.79,5.87,61.56,1.0,50,112.98,0
95.4,2.34,115.68,18.28,30,38.43,1
61.68,2.42,114.51,2.36,33,136.77,1
88.64,3.47,119.44,7.93,0,90.86,1
84.34,3.5,87.19,18.28,59,389.07,0
57.77,0.75,109.64,23.09,18,214.62,1
84.64,5.46,98.47,20.46,4,145.94,0
82.25,3.14,99.77,18.44,22,41.15,1
85.39,5.63,117.19,3.27,10,186.41,1
59.58,6.21,102.2,10.15,12,116.58,0
84.58,4.11,105.74,3.87,11,226.91,1
73.59,2.8,128.71,23.51,14,609.09,1
67.57,0.55,52.84,15.72,60,152.0,1
41.78,8.25,87.18,24.1,20,120.04,0
89.83,4.57,115.27,14.15,25,184.25,1
68.85,8.37,108.43,8.81,45,146.08,0
85.97,5.55,103.93,22.26,49,75.05,1
87.95,7.81,120.69,9.96,40,501.86,0
83.13,5.05,88.83,25.22,56,66.94,1
66.97,3.55,119.66,3.9,39,132.91,1
66.67,5.26,102.55,4.48,39,292.97,1
97.43,6.26,75.13,4.0,10,150.24,1
55.45,1.93,107.47,16.5,50,66.34,0
70.22,4.85,81.61,1.0,0,83.64,0
87.41,5.49,94.94,2.23,54,49.01,0
65.29,3.66,113.47,12.41,47,92.19,1
72.73,4.19,84.55,12.93,40,276.98,0
98.1,2.02,100.78,15.05,54,217.04,1
68.31,3.36,100.83,2.83,53,198.33,0
69.57,2.46,115.21,7.15,54,89.08,1
97.01,4.81,94.88,5.51,29,47.17,0
56.64,6.22,66.26,2.31,14,228.09,0
65.37,3.36,120.11,1.27,0,207.11,0
49.05,4.6,119.81,1.0,30,129.45,1
71.32,1.78,89.35,6.78,53,288.63,0
78.89,2.01,114.03,1.97,27,111.83,1
76.09,3.43,86.15,24.64,7,433.51,0
87.55,4.31,100.94,9.6,48,36.5,1
81.29,4.89,117.97,4.87,8,519.12,1
79.1,0.56,68.41,17.17,38,76.52,1
51.87,1.62,120.91,17.76,59,26.57,1
67.81,2.87,92.75,29.77,37,120.48,0
85.93,7.92,80.58,20.26,9,151.14,0
72.45,0.1,118.84,11.8,13,89.77,1
70.04,3.39,93.84,12.3,25,631.69,0
50.65,4.82,107.62,4.34,55,63.37,1
49.47,3.45,82.35,8.13,23,418.06,0
74.95,4.43,108.8,10.3,44,151.17,1
65.74,3.65,112.84,2.5,3,322.74,0
73.46,5.73,86.64,15.15,47,55.4,0
70.13,6.66,106.97,7.37,5,101.71,1
87.16,4.21,74.07,11.95,36,132.43,1
66.33,6.2,123.01,14.42,58,467.44,1
54.22,6.18,103.72,2.02,57,368.76,1
59.59,3.89,109.78,16.04,25,133.09,0
71.69,5.49,105.29,18.89,16,114.96,1
72.07,3.66,97.5,8.05,47,425.35,0
60.72,5.22,120.04,2.62,46,182.13,1
68.8,5.64,103.03,7.34,51,225.99,0
68.26,0.58,139.73,12.63,34,234.41,1
37.9,1.3,121.25,2.1,23,471.19,0
74.33,5.16,75.21,5.82,50,215.95,0
75.27,2.22,106.78,6.46,24,412.34,0
73.14,5.59,93.17,21.04,36,142.7,0
57.44,4.5,125.79,18.28,51,107.54,0
55.54,4.86,93.6,21.52,20,156.32,0
58.52,3.43,110.78,1.0,21,182.62,1
68.29,6.14,115.6,9.79,7,225.57,0
66.17,4.79,40.19,12.98,21,130.03,0
46.77,5.13,96.04,7.69,4,128.69,0
86.59,6.02,128.23,15.62,17,257.07,1
68.43,0.94,101.82,20.57,19,31.12,0
56.07,5.18,102.52,27.24,52,108.67,0
72.56,4.93,105.48,11.39,31,106.75,1
51.07,3.63,96.1,17.12,47,84.87,0
55.21,6.23,113.38,18.97,5,143.4,0
77.06,3.83,76.2,1.89,22,331.09,1
82.72,2.4,113.74,16.01,10,102.15,0
74.07,4.81,109.88,27.93,59,337.77,1
77.28,2.88,129.73,8.28,23,192.94,1
74.43,1.93,94.1,1.7,0,273.55,0
84.17,6.2,113.76,5.18,46,271.48,1
55.99,4.25,94.27,11.8,24,98.63,0
68.41,5.41,115.63,15.07,6,53.08,1
62.71,2.36,96.4,13.73,57,110.87,1
85.7,2.39,105.91,11.81,54,211.59,1
69.5,3.21,119.57,1.0,5,334.0,1
74.4,3.67,95.34,1.0,42,110.86,1
69.31,2.38,85.16,7.25,9,110.19,0
33.47,3.51,71.42,21.39,58,156.3,0
91.99,4.41,112.01,4.11,49,121.92,1
76.71,1.88,110.1,12.27,38,234.71,1
83.78,2.71,118.46,12.88,28,159.6,0
72.41,2.74,100.46,11.87,18,211.92,1
55.63,3.71,50.09,5.52,15,315.99,0
76.74,4.75,93.36,6.45,52,41.39,1
82.64,3.09,92.73,8.8,35,630.16,0
80.24,2.87,119.05,10.26,7,96.13,1
83.35,5.05,112.62,3.15,55,60.21,1
86.32,4.67,100.26,18.65,35,89.18,1
69.5,0.89,136.91,14.56,32,94.84,1
67.94,2.66,112.94,12.87,40,400.9,0
77.47,2.42,64.49,32.47,30,206.37,0
77.66,1.26,142.42,21.08,36,47.25,1
56.93,2.73,104.82,20.35,54,98.79,1
58.35,0.44,93.87,10.33,59,234.77,1
66.53,3.25,101.72,1.0,20,157.63,0
92.53,4.09,134.13,12.61,53,102.0,1
72.13,6.22,104.87,1.0,33,115.13,1
77.21,2.73,126.55,20.59,43,282.85,1
49.3,3.35,105.7,8.26,52,222.94,0
86.26,2.83,114.27,14.17,41,96.13,1
57.16,6.37,107.28,30.32,26,419.46,0
63.45,4.94,130.27,5.95,0,251.27,0
73.52,2.1,94.73,15.22,0,83.36,0
62.92,2.9,64.54,1.0,37,289.85,1
59.17,4.33,103.35,15.34,3,108.29,0
92.87,2.89,133.14,23.0,36,74.85,1
64.14,4.67,140.42,13.18,18,127.28,0
68.32,5.08,131.86,5.9,2,134.78,1
81.36,4.77,96.16,12.11,4,203.58,0
80.78,1.85,96.43,17.29,7,91.08,1
67.92,7.01,98.65,5.72,1,137.43,1
64.44,4.47,134.56,5.49,15,146.44,0
52.85,5.22,101.62,13.09,54,55.74,1
65.28,3.92,99.03,6.74,40,106.56,1
58.47,1.29,94.18,1.0,40,88.27,1
72.05,4.34,104.14,1.0,0,155.02,0
52.73,5.08,136.66,8.55,59,501.81,0
81.24,2.01,105.77,26.44,27,55.89,0
109.32,3.06,98.83,1.0,2,264.63,1
58.86,2.73,106.62,11.53,60,183.01,0
82.46,2.45,123.54,6.92,1,38.48,1
75.88,4.43,90.83,6.33,60,186.75,1
57.29,5.83,105.65,12.49,18,267.05,0
56.49,3.47,105.97,11.58,49,112.1,0
69.03,4.71,93.89,12.27,12,261.06,0
57.37,3.3,82.29,12.3,29,212.15,0
81.09,5.43,117.56,10.02,26,170.48,1
89.23,3.49,89.1,4.55,7,218.18,1
63.3,3.17,91.34,9.02,56,188.03,1
74.13,4.11,107.46,14.3,40,221.86,0
63.01,4.86,76.01,25.02,24,88.42,0
54.56,2.1,95.85,4.98,18,37.91,0
77.29,5.79,102.36,1.0,52,39.86,1
59.89,5.37,83.7,19.3,48,92.16,0
72.83,4.05,116.7,9.64,34,74.29,1
81.11,7.95,107.36,9.78,4,110.7,1
54.59,3.03,97.13,7.14,44,343.53,1
53.86,2.89,96.78,1.0,11,179.92,0
53.22,2.09,111.71,16.26,8,178.33,0
